iter	Passed	Remaining
0	8	887
1	17	847
2	25	834
3	34	821
4	42	803
5	50	788
6	57	768
7	66	762
8	74	751
9	83	748
10	91	740
11	99	732
12	108	727
13	117	718
14	125	710
15	134	703
16	142	695
17	151	689
18	159	680
19	167	670
20	175	661
21	183	651
22	192	643
23	204	647
24	214	643
25	220	626
26	229	620
27	238	612
28	248	608
29	257	599
30	264	589
31	272	579
32	281	571
33	289	562
34	297	552
35	305	543
36	313	534
37	321	525
38	328	514
39	337	506
40	346	498
41	354	488
42	361	479
43	369	470
44	377	461
45	383	450
46	391	441
47	400	434
48	410	426
49	415	415
50	422	405
51	430	397
52	438	388
53	446	380
54	454	371
55	461	362
56	468	353
57	476	344
58	483	336
59	492	328
60	499	319
61	508	311
62	515	302
63	524	294
64	532	286
65	540	278
66	548	270
67	556	262
68	565	253
69	573	245
70	581	237
71	590	229
72	598	221
73	606	212
74	614	204
75	623	196
76	631	188
77	639	180
78	647	172
79	654	163
80	663	155
81	670	147
82	679	139
83	687	130
84	696	122
85	703	114
86	710	106
87	718	98
88	727	89
89	735	81
90	743	73
91	751	65
92	759	57
93	766	48
94	774	40
95	783	32
96	791	24
97	799	16
98	807	8
99	814	0
